'itemID','subType',bundleSize','canBuy','canSell','basePrice','priceCeil','priceFloor','salesTax','volatility','stock','stockCeil','stockFloor'
'DynamicMarket',TRUE,0,64,,,,,,,,,
1,0,64,TRUE,TRUE,500,'+INF',25,0.005,0.02,0,'+INF','-INF'
3,0,64,TRUE,TRUE,500,'+INF',25,0.005,0.02,0,'+INF','-INF'
4,0,64,TRUE,TRUE,250,'+INF',113,0.005,0.02,0,'+INF','-INF'
5,0,10,TRUE,TRUE,300,'+INF',15,0.005,0.02,0,'+INF','-INF'
6,0,16,TRUE,TRUE,350,'+INF',18,0.005,0.02,0,'+INF','-INF'
12,0,64,TRUE,TRUE,500,'+INF',25,0.005,0.02,0,'+INF','-INF'
13,0,64,TRUE,TRUE,250,'+INF',13,0.005,0.02,0,'+INF','-INF'
17,0,10,TRUE,TRUE,1200,'+INF',60,0.005,0.02,0,'+INF','-INF'
18,0,16,TRUE,TRUE,250,'+INF',50,0.005,0.02,0,'+INF','-INF'
20,0,64,TRUE,TRUE,750,'+INF',38,0.005,0.02,0,'+INF','-INF'
22,0,10,TRUE,TRUE,2500,'+INF',125,0.005,0.04,0,'+INF','-INF'
23,0,1,TRUE,TRUE,500,'+INF',25,0.005,0.02,0,'+INF','-INF'
24,0,16,TRUE,TRUE,500,'+INF',25,0.005,0.02,0,'+INF','-INF'
25,0,1,TRUE,TRUE,500,'+INF',25,0.005,0.02,0,'+INF','-INF'
27,0,16,TRUE,TRUE,1000,'+INF',31,0.005,0.02,0,'+INF','-INF'
28,0,16,TRUE,TRUE,1000,'+INF',31,0.005,0.02,0,'+INF','-INF'
29,0,8,TRUE,TRUE,1500,'+INF',75,0.005,0.02,0,'+INF','-INF'
33,0,8,TRUE,TRUE,1000,'+INF',75,0.005,0.02,0,'+INF','-INF'
35,0,10,TRUE,TRUE,500,'+INF',25,0.005,0.02,0,'+INF','-INF'
35,1,10,TRUE,TRUE,500,'+INF',25,0.005,0.02,0,'+INF','-INF'
35,2,10,TRUE,TRUE,500,'+INF',25,0.005,0.02,-1,'+INF','-INF'
35,3,10,TRUE,TRUE,500,'+INF',25,0.005,0.02,0,'+INF','-INF'
35,4,10,TRUE,TRUE,500,'+INF',25,0.005,0.02,0,'+INF','-INF'
35,5,10,TRUE,TRUE,500,'+INF',25,0.005,0.02,0,'+INF','-INF'
35,6,10,TRUE,TRUE,500,'+INF',25,0.005,0.02,0,'+INF','-INF'
35,7,10,TRUE,TRUE,500,'+INF',25,0.005,0.02,0,'+INF','-INF'
35,8,10,TRUE,TRUE,500,'+INF',25,0.005,0.02,0,'+INF','-INF'
35,9,10,TRUE,TRUE,500,'+INF',25,0.005,0.02,0,'+INF','-INF'
35,10,10,TRUE,TRUE,500,'+INF',25,0.005,0.02,0,'+INF','-INF'
35,11,10,TRUE,TRUE,500,'+INF',25,0.005,0.02,0,'+INF','-INF'
35,12,10,TRUE,TRUE,500,'+INF',25,0.005,0.02,0,'+INF','-INF'
35,13,10,TRUE,TRUE,500,'+INF',25,0.005,0.02,0,'+INF','-INF'
35,14,10,TRUE,TRUE,500,'+INF',25,0.005,0.02,0,'+INF','-INF'
35,15,10,TRUE,TRUE,500,'+INF',25,0.005,0.02,0,'+INF','-INF'
37,0,1,TRUE,TRUE,75,'+INF',4,0.005,0.02,0,'+INF','-INF'
38,0,1,TRUE,TRUE,75,'+INF',4,0.005,0.02,0,'+INF','-INF'
39,0,1,TRUE,TRUE,250,'+INF',13,0.005,0.02,0,'+INF','-INF'
40,0,1,TRUE,TRUE,250,'+INF',13,0.005,0.02,0,'+INF','-INF'
44,0,10,TRUE,TRUE,250,'+INF',13,0.005,0.02,0,'+INF','-INF'
44,1,10,TRUE,TRUE,925,'+INF',46,0.005,0.02,0,'+INF','-INF'
44,2,10,TRUE,TRUE,900,'+INF',45,0.005,0.02,0,'+INF','-INF'
44,3,10,TRUE,TRUE,1050,'+INF',53,0.005,0.02,0,'+INF','-INF'
45,0,10,TRUE,TRUE,2500,'+INF',125,0.005,0.02,0,'+INF','-INF'
46,0,8,TRUE,TRUE,1500,'+INF',75,0.005,0.02,0,'+INF','-INF'
47,0,1,TRUE,TRUE,2500,'+INF',125,0.005,0.02,0,'+INF','-INF'
48,0,10,TRUE,TRUE,1000,'+INF',50,0.005,0.02,0,'+INF','-INF'
49,0,16,TRUE,TRUE,5000,'+INF',250,0.005,0.04,0,'+INF','-INF'
50,0,32,TRUE,TRUE,1000,'+INF',50,0.005,0.02,0,'+INF','-INF'
52,0,1,TRUE,TRUE,50000,'+INF',2500,0.0075,0.1,0,'+INF','-INF'
53,0,8,TRUE,TRUE,850,'+INF',43,0.005,0.02,0,'+INF','-INF'
54,0,1,TRUE,TRUE,250,'+INF',43,0.005,0.02,0,'+INF','-INF'
58,0,1,TRUE,TRUE,250,'+INF',43,0.005,0.02,0,'+INF','-INF'
59,0,8,TRUE,TRUE,500,'+INF',43,0.005,0.02,0,'+INF','-INF'
